neo_id,absolute_magnitude_h,estimated_diameter_max_km,miss_distance_km,miss_distance_lunar,relative_velocity_kph,num_close_approaches,is_potentially_hazardous_asteroid,size_to_distance_ratio,approach_category,priority_watch,observatory_code,confidence_score,total_known_neos,scaled_size_to_distance_ratio
3623521,23.19,0.1367854737,64718526.210020445,168.2878686421,35898.5982183234,1,False,0.0008128065011679686,distant,False,UNKNOWN,,19,0.064346126998137
3825168,27.0,0.023661375,26402393.498056147,68.6542600556,23729.0902822161,1,False,0.0003446454011861422,distant,False,F51,0.53,19,0.021619936122072372
3727176,23.4,0.1241766613,67979267.10535517,176.7667875484,57339.3131828341,1,False,0.0007024886463244661,distant,False,G96,0.78,19,0.05427809331643118
3767163,26.0,0.0375007522,63799650.39033116,165.8985118026,26357.1899568616,1,False,0.00022604634479555518,distant,False,UNKNOWN,0.89,19,0.010796127990080886
3780807,22.82,0.1621959399,23639374.08103808,61.4695685007,30748.4403707255,1,False,0.00263863800993093,distant,False,G96,0.71,19,0.23097856517800217
3842755,22.03,0.2333672878,57265900.37753874,148.908772878,29031.9091169604,1,False,0.001567182935495656,distant,False,UNKNOWN,0.66,19,0.13319343517205623
3843105,22.2,0.2157943048,71840959.60887836,186.8083635673,14419.4776191061,1,False,0.0011551640444741515,distant,False, G96,0.63,19,0.09559099920928049
3879546,27.66,0.0174598287,62315508.75643299,162.0392917777,20806.8644410517,1,False,0.00010775058634514989,distant,False,UNKNOWN,0.67,19,0.0
3756946,24.7,0.0682401509,31201475.574946634,81.1333343092,20433.7510237319,1,False,0.0008410864841316156,distant,False,,,19,0.06692706751225393
3760059,24.9,0.0622357573,70475859.37300846,183.2586874138,62068.2225030148,1,False,0.000339606040937481,distant,False,F51,0.64,19,0.021160024634582473
3799636,21.29,0.3281254972,47471510.20861725,123.4403769997,30558.5577675304,1,False,0.0026581699211822517,distant,False,W88,0.53,19,0.2327611228666498
2524474,19.32,0.8129053443,28253012.663584687,73.4664332195,16603.2852533801,1,False,0.01106498993725794,distant,False,703,0.89,19,1.0
3102774,21.3,0.3266178974,38203008.13409134,99.3394502486,67987.4514578849,1,False,0.0032878971705865975,distant,False, G96,,19,0.2902324648020513
3457386,24.65,0.0698296682,24568520.213376902,63.8856312794,12594.0999118889,1,False,0.001093041843706672,distant,False, G96,0.53,19,0.08992148713803924
3789395,27.9,0.0156329154,51500433.06972607,133.9168028537,15117.5493822112,1,False,0.00011673602615109083,distant,False,703,0.84,19,0.000820045954841026
3826685,24.3,0.0820427065,69658028.95589748,181.1320793795,96579.3857033081,1,False,0.0004529440990301211,distant,False,703,0.65,19,0.03150369373433601
3843136,24.09,0.0903732663,8918882.14343415,23.191808505,49775.2304958403,1,False,0.003896775289452572,moderate,False,,,19,0.3458010345271666
3892694,25.5,0.0472106499,35182445.97577077,91.4850691696,51820.243331418,1,False,0.0005160475947444313,distant,False, G96,0.54,19,0.03726276257397519
3893233,24.2,0.0859092601,74716629.7076368,194.2859811859,25671.7391399409,1,False,0.0004421794077762041,distant,False, G96,0.7,19,0.030521266417639647
